차이,추천 1000개 이상,추천 10000개 이상,추천 200000개 이상,청원전체,지지율,대통령 주
0.0,14,1,0,127,76.45,14
-1.9000000000000057,21,1,0,537,74.55,15
-4.0,13,2,0,507,70.55,16
-2.5,12,4,1,669,68.05,17
-0.25,29,6,1,11344,67.8,18
-1.4500000000000028,10,3,0,977,66.35,19
4.400000000000006,18,0,0,2334,70.75,21
-1.8499999999999943,9,3,1,1716,68.9,22
1.1999999999999886,2,2,0,135,70.1,23
1.5500000000000114,9,3,0,1312,71.65,24
0.3999999999999915,3,0,0,1314,72.05,25
0.25,9,1,0,1307,72.3,26
0.20000000000000284,17,5,0,1374,72.5,27
0.75,6,0,0,488,73.25,28
-0.8499999999999943,17,6,1,1160,72.4,29
-3.1000000000000085,21,6,0,15937,69.3,30
0.6000000000000085,34,9,1,3634,69.9,31
-1.4000000000000057,48,9,1,5399,68.5,32
3.299999999999997,34,6,0,3295,71.8,33
0.0,26,7,1,1838,71.8,34
-5.299999999999997,39,7,0,4483,66.5,35
-4.100000000000001,51,7,0,4545,62.4,36
0.8500000000000014,35,11,0,3871,63.25,37
0.0,26,7,1,3640,63.25,38
-0.14999999999999858,36,7,2,2932,63.1,39
3.749999999999993,46,7,1,9381,66.85,40
-1.5999999999999943,66,14,3,9063,65.25,41
3.1500000000000057,66,17,1,7322,68.4,42
3.3999999999999915,28,4,0,2553,71.8,43
-1.75,19,4,0,2866,70.05,44
-0.29999999999999716,53,13,2,7839,69.75,45
1.2999999999999972,45,5,1,4128,71.05,46
-1.6499999999999915,70,12,3,8078,69.4,47
-0.5,27,4,1,2785,68.9,48
2.5999999999999943,30,7,1,2713,71.5,49
8.700000000000003,58,13,0,4945,80.2,50
-3.049999999999997,52,8,2,3861,77.15,51
-1.75,53,12,2,4794,75.4,52
-1.1500000000000057,63,12,1,5311,74.25,53
-1.0499999999999972,5,1,0,534,73.2,54
4.25,51,8,1,5274,77.45,56
-2.25,63,11,2,5740,75.2,57
-2.950000000000003,60,13,2,6113,72.25,58
-2.0999999999999943,65,12,0,4562,70.15,59
-1.6000000000000085,11,0,0,821,68.55,60
-3.5999999999999943,62,13,1,6084,64.95,61
-3.4000000000000057,47,11,2,4254,61.55,62
0.05000000000000426,58,19,2,4619,61.6,63
-3.5500000000000043,72,19,2,5106,58.05,64
0.10000000000000142,32,3,1,5191,58.15,65
-2.1499999999999986,19,1,0,2348,56.0,66
-1.8999999999999986,46,12,0,5201,54.1,67
-2.8500000000000014,53,12,4,4243,51.25,68
0.29999999999999716,74,19,2,7024,51.55,69
9.900000000000006,52,11,1,6571,61.45,70
3.8499999999999943,3,1,0,676,65.3,71
-1.9499999999999957,60,8,1,6103,63.35,72
0.10000000000000142,60,12,0,5219,63.45,73
-2.25,68,15,1,6251,61.2,74
-2.8500000000000014,50,13,1,5919,58.35,75
-3.0500000000000043,9,1,0,1604,55.3,76
-0.5999999999999943,34,3,0,3651,54.7,77
-1.8500000000000014,44,9,0,6167,52.85,78
-0.3500000000000014,35,8,0,6854,52.5,79
-1.7999999999999972,36,4,0,6534,50.7,80
-1.4500000000000028,27,3,0,4577,49.25,81
-2.5,14,1,0,1370,46.75,82
-0.7000000000000028,55,10,1,7279,46.05,83
-0.14999999999999858,55,8,0,6912,45.9,84
