Source,Target,Weight
말,여성,5229
국민,여성,4351
말,사람,3871
국민,대한민국,3104
국민,난민,3032
국민,정부,2753
국민,국가,2734
국민,사람,2299
말,사건,2156
병원,치료,2144
말,생각,2144
말,아이,2124
병원,의사,2089
말,피해자,2084
국민,위,1984
말,남성,1972
국민,외국인,1805
국민,정책,1781
병원,환자,1743
국민,한국,1743
말,학생,1667
말,저희,1571
말,남자,1512
병원,간호사,1457
병원,말,1421
병원,재활,1335
병원,저희,1305
병원,의료,1081
병원,수술,1055
병원,태양,1008
업체,저희,440
승무원,회사,420
승무원,휴가,378
업체,중공업,330
업체,문제,314
업체,말,297
업체,보험,274
업체,사람,247
업체,상황,231
업체,인증,231
업체,웹하드,220
승무원,근무,219
업체,지금,206
업체,공사,200
승무원,안전,197
업체,불법,188
승무원,저희,186
업체,위,182
승무원,대한항공,179
업체,공정,176
업체,인원,176
승무원,생각,175
승무원,문제,175
승무원,지대,175
승무원,인권,175
업체,책,170
업체,기업,168
업체,영상,168
업체,처벌,166
업체,매달,154
업체,안전,154
업체,디지털,154
업체,법,148
업체,물,145
업체,국민,145
업체,관리,145
업체,유통,132
업체,유예,132
업체,주,131
업체,계약,128
업체,피해,124
업체,회사,122
업체,산업,121
업체,줄,120
업체,촬영,118
업체,정부,116
업체,근무,114
업체,담당,113
업체,업무,112
업체,현장,112
업체,발생,111
업체,수술,111
업체,책임,111
업체,신용,110
업체,간접비,108
업체,비용,105
업체,기관,103
업체,해결,103
업체,아이,94
업체,제품,94
업체,기간,93
업체,대표,93
업체,근로자,91
업체,명,91
업체,피해자,90
업체,충,88
업체,필터,88
업체,링,88
업체,불공정,88
업체,부서,88
